P0636,,0,LENGERICH,,52.57,7.53,26.0,,,
P099,4663,0,SELB-SPIELBERG,,50.17,12.03,610.0,,,
P106,1851,0,GROSSOSTHEIM,,49.92,9.08,110.0,,,
P315,970,0,DIETENHOFEN,,49.42,10.67,405.0,,,
P359,4494,0,SCHMIDMUEHLEN,,49.28,11.92,453.0,,,
P421,1607,0,GEORGENSGMUEND,,49.2,11.03,346.0,,,
P832,6238,0,STARNBERG-PERCHTING,,47.98,11.27,675.0,,,
P875,857,0,CHIEMSEE-HERRENCHIEM,,47.87,12.38,536.0,,,
P938,6307,0,GARMISCH-PARTENKIRCH,,47.48,10.93,801.0,,,
P990,2885,0,LAUFEN/OBB.-LEBENAU,,47.95,12.9,430.0,,,
Q105,6243,0,PHILIPPSBURG KKW,,49.25,8.43,96.0,,,
Q132,6244,0,OBRIGHEIM,,49.37,9.08,145.0,,,
Q246,6245,0,NECKARWESTHEIM KKW,,49.03,9.17,180.0,,,
Q258,3733,0,OBERSTENFELD-PREVORS,,49.05,9.38,468.0,,,
Q278,1538,0,GAILDORF-HAEGENAU,,49.02,9.73,351.0,,,
Q285,5206,0,VELLBERG-KLEINALTDOR,,49.12,9.9,396.0,,,
Q425,4710,0,SIMMERSFELD,,48.62,8.52,720.0,,,
Q430,2996,0,"LIEBENZELL, BAD (LUB",,48.77,8.73,352.0,,,
Q521,3802,0,OPPENAU,,48.48,8.17,315.0,,,
Q676,2072,0,HAYINGEN,,48.27,9.47,665.0,,,
Q732,2677,0,KOENIGSFELD/SCHWARZW,,48.13,8.43,730.0,,,
Q751,71,0,ALBSTADT-BADKAP,,48.22,8.98,759.0,,,
Q800,6256,0,BREMGARTEN (FESSENHE,,47.92,7.58,201.0,,,
Q880,7135,0,AULENDORF-HASLACH,,47.97,9.68,565.0,,,
Q918,6246,0,WALDSHUT KKW,,47.62,8.22,340.0,,,
X035,,0,UNTERREYSSEN,,51.33,13.25,70.0,,,
X048,,0,WASUNGEN,,50.67,10.37,275.0,,,
X104,,0,BERLIN-TEGEL,,52.57,13.28,40.0,,,
X128,,0,FRANKFURT-HAHN,,49.95,7.27,548.0,,,
X132,,0,KARLSRUHE/BADEN-BADE,,48.78,8.08,136.0,,,
X133,,0,KASSEL-CALDEN,,51.4,9.37,302.0,,,
X149,,0,TINNUM,,54.9,8.33,8.0,,,
X376,,0,EHRINGEN/DONAU,,48.28,9.72,520.0,,,
X378,,0,BAD WALDSEE,,47.92,9.75,620.0,,,
X379,,0,MESSSTETTEN,,48.18,8.98,920.0,,,
X381,,0,SCHONACH,,48.13,8.2,904.0,,,
X382,,0,TITISEE-NEUSTADT,,47.9,8.17,860.0,,,
X383,,0,FREUDENSTADT,,48.45,8.4,796.0,,,
X384,,0,ALTENSTEIG-WART,,48.62,8.65,586.0,,,
X391,,0,BOLTENHAGEN,,54.0,11.18,15.0,,,
X393,,0,TETEROW,,53.77,12.62,50.0,,,
X397,,0,UECKERMUENDE,,53.73,14.07,1.0,,,
X398,,0,WAREN(MUERITZ),,53.52,12.67,73.0,,,
X399,,0,NEUBRANDENBURG,,53.55,13.2,81.0,,,
X400,,0,FELDBERG/MECKLENBURG,,53.32,13.42,115.0,,,
X405,,0,DEMMIN,,53.92,13.05,17.0,,,
X406,,0,WOLGAST,,54.05,13.78,8.0,,,
X414,,0,RERIK,,54.12,11.62,18.0,,,
X416,,0,NEUSTRELITZ,,53.38,13.05,64.0,,,
X421,,0,NEUGLOBSOW,,53.15,13.03,62.0,,,
X427,,0,ELSTERWERDA,,51.47,13.53,91.0,,,
X428,,0,ZEHDENICK,,52.98,13.35,46.0,,,
X429,,0,STRAUSBERG,,52.58,13.88,73.0,,,
X430,,0,DAHME,,51.87,13.43,86.0,,,
X432,,0,FRIESACK,,52.77,12.58,29.0,,,
X434,,0,WITTENBERGE,,53.0,11.77,22.0,,,
X435,,0,SCHOENBORN,,51.6,13.5,115.0,,,
X438,,0,LUCKENWALDE,,52.17,13.15,40.0,,,
X439,,0,BLIESDORF,,52.68,14.17,5.0,,,
X452,,0,GOERLITZ,,51.17,14.95,238.0,,,
X454,,0,SCHWEDT,,53.07,14.27,1.0,,,
Y0209,,0,RAMSTEIN,,49.43,7.58,238.0,,,
Y0210,,0,SPANGDAHLEM,,49.97,6.68,365.0,,,
